,,,riesgo_cv_mean,riesgo_cv_mean,brecha_bayes,brecha_bayes
,,,mean,std,mean,std
escenario,clasificador,n_total,,,,
Desbalanceado_MismaCov,KNN-21,1000,0.1629,0.0105,-0.1618,0.0105
Desbalanceado_MismaCov,KNN-21,2500,0.1639,0.0067,-0.1609,0.0067
Desbalanceado_MismaCov,KNN-5,250,0.1792,0.0393,-0.1456,0.0393
Desbalanceado_MismaCov,KNN-5,500,0.1809,0.0209,-0.1439,0.0209
Desbalanceado_MismaCov,KNN-5,1000,0.1799,0.0116,-0.1449,0.0116
Desbalanceado_MismaCov,KNN-5,2500,0.1778,0.0077,-0.147,0.0077
Desbalanceado_MismaCov,LDA,250,0.167,0.025,-0.1578,0.025
Desbalanceado_MismaCov,LDA,500,0.157,0.0121,-0.1678,0.0121
Desbalanceado_MismaCov,LDA,1000,0.1579,0.0085,-0.1669,0.0085
Desbalanceado_MismaCov,LDA,2500,0.1593,0.0054,-0.1655,0.0054
Desbalanceado_MismaCov,QDA,250,0.166,0.0255,-0.1588,0.0255
Desbalanceado_MismaCov,QDA,500,0.158,0.0114,-0.1668,0.0114
Desbalanceado_MismaCov,QDA,1000,0.1581,0.0081,-0.1667,0.0081
Desbalanceado_MismaCov,QDA,2500,0.1589,0.0052,-0.1659,0.0052
